,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,No_recipes,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
Rice bread,Three recipes,239.1,2024-02-02 00:00:00,0.0,0.0,2024-05-07 00:00:00,41.1
Rice bun,Two recipes,416.2,2024-07-04 00:00:00,0.0,0.0,2024-01-11 00:00:00,73.7
Rice and meat pillau,Three recipes,177.0,2024-01-07 00:00:00,2024-02-05 00:00:00,2024-02-05 00:00:00,2024-06-05 00:00:00,2024-06-23 00:00:00
Rice and mung dish with coconut milk,Two recipes,262.8,5.0,0.0,0.0,2024-04-11 00:00:00,36.2
Rice and mung dish no coconut milk,Two recipes,124.1,2024-03-03 00:00:00,0.0,0.0,0.2,2024-07-26 00:00:00
Rice poridge with coconut no sugar,One recipe,152.9,2.0,0.0,0.0,2024-02-08 00:00:00,2024-05-18 00:00:00
Rice porridge with sugar,One recipe,94.6,0.6,0.0,0.0,0.1,23.0
Rice ugali (stiff porridge),One recipe,149.0,2024-07-02 00:00:00,0.0,0.0,0.2,32.8
Rice with coconut milk,Six recipes,170.0,2024-09-02 00:00:00,0.0,0.0,2024-05-01 00:00:00,35.5
Rice with ground meat,One recipe,288.4,2024-05-08 00:00:00,2024-04-04 00:00:00,2024-04-04 00:00:00,2024-07-14 00:00:00,2024-07-30 00:00:00
Sorgum and millet ugali (stiff porridge),One recipe,112.1,2024-04-03 00:00:00,0.0,0.0,0.9,2024-07-24 00:00:00
Sorgum porridge with sugar,One recipe,91.0,1.0,0.0,0.0,0.3,22.0
Vermicelli - cooked,One recipe,209.0,2024-07-06 00:00:00,0.0,0.0,2024-03-02 00:00:00,39.6
Vermicelli with coconut milk and sugar,One recipe,227.6,7.0,0.0,0.0,2024-06-03 00:00:00,41.5
Vermicell with oil and sugar,One recipe,228.2,2024-07-06 00:00:00,0.0,0.0,2024-07-03 00:00:00,41.6
Vermicelli with coconut milk and salt,One recipe,260.4,2024-07-07 00:00:00,0.0,0.0,2024-02-06 00:00:00,43.3
"Wheat fritter, sweet",One recipe,318.0,2024-09-01 00:00:00,0.0,0.0,2024-02-14 00:00:00,46.7
Wheat porridge,One recipe,91.9,2024-04-01 00:00:00,0.0,0.0,0.2,2024-02-22 00:00:00
