,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Unit
,"Egusi
(melon
seed)
pudding","Pap
(hot
cereal)","Snail
stew","Tomato
stew","Steamed
fish","FuFu
corn","Groundnut
pudding ","Huckle
berry
sauce","Okok
(eru)",
"Number of recipes
collected",5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,
Energy,25.0,33.0,143.0,193.0,77.0,187.0,403.0,199.0,200.0,kcal
Energy,104.0,138.0,599.0,807.0,321.0,785.0,1687.0,835.0,839.0,kJ
Water,93.0,92.0,75.1,74.8,83.0,53.5,33.5,79.2,73.1,g
Protein,3.3,0.8,11.3,4.3,12.7,3.6,18.3,5.3,4.5,g
Carbohydrates,3.1,7.0,2.7,0.9,1.5,39.4,11.5,2.9,3.0,g
Fat,0.1,0.2,9.8,2023-04-19 00:00:00,2.4,1.5,35.0,19.2,20.0,g
Saturated fat ,0.0,0.0,3.4,9.5,0.4,0.2,4.9,8.8,7.5,g
Monounsaturated fat,0.0,0.0,4.0,7.2,1.1,0.4,17.4,6.8,8.3,g
Polyunsaturated fat,0.0,0.1,1.8,1.9,0.8,0.6,11.1,2.7,3.4,g
Omega-3 fatty acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,g
Omega-6 fatty acid,0.0,0.0,1.6,1.8,0.6,0.0,2023-01-11 00:00:00,1.5,3.3,g
Cholesterol,8.9,0.0,29.0,13.2,37.0,0.0,0.0,10.8,2.4,mg
Total dietary fiber,0.3,0.7,0.7,0.5,0.6,1.7,6.1,0.9,1.4,g
Thiamin,0.0,0.0,0.1,0.0,0.1,0.2,0.5,0.1,0.1,mg
Riboflavin,0.1,0.0,0.1,0.0,0.0,1.0,0.1,0.1,0.1,mg
Niacin,0.5,0.1,2023-07-01 00:00:00,0.4,1.3,3.0,8.6,1.4,1.8,mg
Vit-B-6 ,0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,mg
Total folate ,10.4,4.3,22.4,9.4,23.0,11.0,171.0,67.7,57.7,micro g
Vitamin C,4.5,0.0,0.8,3.8,1.7,0.0,0.1,26.2,9.9,mg
"Vitamin A (retinol
equivalent))",170.0,0.0,0.0,0.0,0.0,0.0,0.3,146.0,0.0,micro g
Vitamin K,0.5,0.0,0.5,1.6,0.0,0.0,1.1,391.0,155.0,micro g
Calcium ,2023-08-11 00:00:00,2.3,13.9,5.1,10.5,4.1,66.2,95.9,51.7,mg
Iron ,0.4,0.1,2.4,0.1,0.3,0.6,3.3,1.6,2023-01-01 00:00:00,mg
Zinc ,0.2,0.1,0.8,0.1,0.4,0.2,2.3,1.1,0.6,mg
Magnesium,10.6,4.5,158.0,9.4,26.9,25.0,119.7,55.5,37.3,mg
Manganese,0.1,0.0,0.2,0.0,0.1,0.0,1.4,0.5,0.4,mg
Selenium,4.8,0.7,0.6,6.9,189.5,1.7,5.1,3.4,1.5,micro g
Phosphorus,48.1,7.6,187.0,46.0,132.0,51.7,267.0,85.3,67.0,mg
Potassium,212.0,14.6,287.0,132.0,267.0,62.7,502.0,399.0,229.0,mg
Sodium,19.9,3.0,43.3,31.1,77.8,2.0,13.7,42.2,23.7,mg
