,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Nutritional composition of commonly consumed composite dishes from the Central Province of Cameroon,Unit
,"Chicken
stew",Eru,"Groundnut
soup","Okra
pod
soup","Yellow
soup","Koki
beans","Plantain
porridge","Pumpkin
leaves and
huckleberry
sauce","Green
vegetable
sauce",Unit
"Number of recipes
collected",3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,
Energy,269.0,209.0,250.0,126.0,144.0,169.0,144.0,115.0,197.0,kcal
Energy,1125.0,873.0,1047.0,528.0,601.0,708.0,602.0,480.0,826.0,kJ
Water,94.4,73.7,61.8,79.9,83.4,73.1,70.9,79.3,72.7,g
Protein,19.2,2.2,8.1,8.0,0.1,3.2,1.6,6.0,2023-06-02 00:00:00,g
Carbohydrates,2.1,1.1,3.9,2.1,0.4,8.6,18.7,4.2,3.0,g
Fat,2023-02-20 00:00:00,2023-04-22 00:00:00,2023-07-23 00:00:00,2023-07-09 00:00:00,16.0,14.0,8.0,2023-04-09 00:00:00,2023-03-20 00:00:00,g
Saturated fat,2023-06-08 00:00:00,2023-09-10 00:00:00,8.0,2023-04-04 00:00:00,2023-09-07 00:00:00,2023-08-06 00:00:00,2023-09-03 00:00:00,2023-03-01 00:00:00,2023-04-09 00:00:00,g
Monounsaturated fat,2023-04-07 00:00:00,2023-03-08 00:00:00,10.0,2023-08-03 00:00:00,2023-09-05 00:00:00,2023-01-05 00:00:00,2023-09-02 00:00:00,2023-06-04 00:00:00,7.1,g
Polyunsaturated fat,2023-08-02 00:00:00,2023-01-02 00:00:00,2023-06-04 00:00:00,0.9,2023-05-01 00:00:00,2023-05-01 00:00:00,0.8,3.0,2023-08-02 00:00:00,g
Omega-3 fatty acid,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,g
Omega-6 fatty acid,2023-05-02 00:00:00,2.0,2023-04-04 00:00:00,0.8,2023-05-01 00:00:00,2023-04-01 00:00:00,0.7,2023-09-02 00:00:00,2023-07-01 00:00:00,g
Cholesterol,65.0,2023-06-05 00:00:00,0.0,2023-02-25 00:00:00,0.0,0.0,2023-05-02 00:00:00,0.0,0.0,mg
Total dietary fiber,0.9,0.4,2023-09-01 00:00:00,0.9,0.0,2023-01-02 00:00:00,2023-05-01 00:00:00,2.0,0.9,g
Thiamin,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.1,mg
Riboflavin,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,mg
Niacin,4.7,0.3,2.5,1.9,0.0,0.7,0.6,2023-05-02 00:00:00,0.6,mg
Vitamin B-6 ,0.3,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.1,mg
Total folate,16.8,30.2,51.5,23.0,0.3,33.3,2023-04-15 00:00:00,73.8,58.3,micro g
Vitamin C ,7.8,19.4,1.3,5.0,0.4,17.1,12.1,30.1,23.7,mg
"Vitamin A (retinol
eauivalent)",2023-01-13 00:00:00,114.0,0.0,3.9,0.0,54.2,35.8,116.0,124.0,micro g
Vitamin K,3.7,233.0,1.1,1.4,1.3,132.0,2023-02-10 00:00:00,189.0,332.0,micro g
Calcium,15.5,67.0,25.4,24.8,3.5,43.8,5.4,95.7,81.4,mg
Iron,1.1,0.6,1.0,0.9,0.0,1.6,0.5,1.3,1.3,mg
Zinc,2.1,0.3,0.7,1.5,0.0,0.4,0.2,0.8,0.7,mg
Magnesium,22.0,20.7,40.1,22.7,1.2,33.7,23.7,44.7,48.3,mg
Manganese,0.1,0.3,0.4,0.3,0.0,0.6,0.0,0.6,0.4,mg
Selenium,15.5,1.3,1.5,3.3,0.1,0.9,1.2,1.8,0.6,micro g
Phosphorus,140.0,35.2,120.0,81.7,1.7,64.4,28.4,95.2,61.2,mg
Potassium,286.0,222.0,236.0,177.0,5.3,287.0,318.0,335.0,341.0,mg
Sodium,69.7,34.4,27.0,29.9,1.8,13.5,2023-03-06 00:00:00,19.8,31.4,mg
